"X.U.FEFF.ID","Authors","Title","Year"
"F002S150","YB Wang, XJ Yang, DK Qin, Y Feng, YM Guo, ...","Effects of eicosapentaenoic acid and docosahexaenoic acid on responses of LPS-stimulated intestinal B lymphocytes from broiler chickens studied in vitro",2011
"F002S151","G Savoini, G Farina, V Dell'Orto, ...","Through ruminant nutrition to human health: role of fatty acids",2016
"F002S152","DN Coleman, KD Murphy, ...","Prepartum fatty acid supplementation in sheep. II. Supplementation of eicosapentaenoic acid and docosahexaenoic acid during late gestation alters the fatty acid …",2018
"F002S153","NB Janakiram, A Mohammed, ML Lang, CV Rao","Immune modulation by agents used in the prevention and treatment of colon and pancreatic cancers",2015
"F002S154","N Kemse, D Sundrani, A Kale, S Joshi","Maternal Micronutrients, Omega-3 fatty acids and gene expression of angiogenic and inflammatory markers in pregnancy induced hypertension rats",2017
"F002S155","SM Ross","Omega-3 fatty acids: clinical applications in the treatment of depression",2016
"F002S156","S Basiouni, H Fuhrmann, J Schumann","The influence of polyunsaturated fatty acids on the phospholipase d isoforms trafficking and activity in mast cells",2013
"F002S157","RB Melo, PG de Barros Silva, RB Oriá, ...","Anti-inflammatory effect of a fatty acid mixture with high <U+03C9>-9: <U+03C9>-6 ratio and low <U+03C9>-6: <U+03C9>-3 ratio on rats submitted to dental extraction",2017
"F002S158","G Farina, D Cattaneo, C Lecchi, G Invernizzi, G Savoini, ...","A Review on the Role of EPA and DHA Through Goat Nutrition to Human Health: Could they be Effective both to Animals and Humans?",2015
"F002S159","<U+5DE6><U+78CA>, <U+674E><U+85CF><U+5170>, <U+8D56><U+957F><U+534E>","<U+4E0D><U+540C> n-6/n-3 <U+591A><U+4E0D><U+9971><U+548C><U+8102><U+80AA><U+9178><U+6BD4><U+503C><U+5BF9><U+65AD><U+5976><U+4ED4><U+732A><U+751F><U+957F><U+6027><U+80FD><U+548C><U+514D><U+75AB><U+53CD><U+5E94><U+7684><U+5F71><U+54CD>",2010
"F002S160","<U+5F20><U+5A55>, <U+9AD8><U+9896><U+660C>, <U+5D14><U+5411><U+4E3D>, <U+4EFB><U+6DD1><U+840D>","<U+9C7C><U+6CB9><U+8102><U+80AA><U+4E73><U+5BF9><U+5371><U+91CD><U+75C7><U+75BE><U+75C5><U+7684><U+80A0><U+5916><U+8425><U+517B><U+5E94><U+7528>",2008
"F002S161","FJ Schweigert, J Reimann","Mikronährstoffe und ihre Bedeutung für das Auge–Wirkungsweise von Lutein/Zeaxanthin und Omega-3-Fettsäuren",2011
"F002S162","MG Parker, L Konnikova, CR Martin","The role of nutrition in health and disease in premature infants: current knowledge gaps and defining the research agenda",2013
"F002S163","JI Fenton, NG Hord, S Ghosh, ...","Long chain omega-3 fatty acid immunomodulation and the potential for adverse health outcomes",2013
"F002S164","Q Leyrolle, S Layé, A Nadjar","N-3 PUFAs and neuroinflammatory processes in cognitive disorders",2016
"F002S165","JE MagroneT","Nutraceuticals in immunosenescence",2015
"F002S166","<U+6D2A><U+6F84><U+82F1>, <U+5F20><U+536B><U+661F>","<U+03C9>-3 <U+9C7C><U+6CB9><U+8102><U+80AA><U+4E73><U+5728><U+8113><U+6BD2><U+75C7><U+5E76><U+6025><U+6027><U+80BE><U+635F><U+4F24><U+60A3><U+8005><U+4E2D><U+7684><U+4E34><U+5E8A><U+5E94><U+7528>",2014
"F002S167","KL Honda","Effect of omega-3 fatty acids on toll-like receptor 4-mediated macrophage inflammation and its regulation",2014
"F002S168","A Hirbod-Mobarakeh, M Mahmoudi, N Rezaei","Nutrition, Immunity, and Aging",2014
"F002S169","M FL Pomponi, M Pomponi, ...","Why Fish and Fruit are better than fish and chips in the aging process",2012
"F002S170","AM McHaney, R Welti, MR Roth, JM Dinnetz, ...","Omega-3 Fatty Acid Supplementation Affects Selected Phospholipids in Peripheral White Blood Cells and in Plasma of Full-Sized and Miniature Mares",2013
"F002S171","S Popadic, Z Ramic, L Medenica, ...","Antiproliferative effect of docosahexaenoic acid on adult human keratinocytes in vitro/Antiproliferativni efekat dokosaheksanoicne kiseline na adultne humane …",2009
"F002S172","G Thorlacius","The effects of natural compounds on immune cell activation",2011
"F002S173","GE Thorlacius","The effects of natural compounds on immune cell activation. The effects of dietary fish oil on ex vivo chemokine secretion by murine splenocytes and lichen or …",2011
"F002S174","JF Ferguson, K Roberts-Lee, C Borcea, ...","Omega-3 polyunsaturated fatty acids attenuate inflammatory activation and alter differentiation in human adipocytes",2019
"F002S175","K Pirian, K Piri, J Sohrabipour, ...","Three species of Ulva (Ulvophyceae) from the Persian Gulf as potential sources of protein, essential amino acids and fatty acids",2018
"F002S176","J Czepiel, J Gdula-Argasinska, A Garlicki","n-3 and n-6 fatty acid changes in the erythrocyte membranes of patients with Clostridium difficile infection",2016
"F002S177","R Uauy, B Koletzko, A Palou","Dietary intake of eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) in children-a workshop report",2010
"F002S178","N Watanabe","Importance of n-3 Polyunsaturated Fatty Acids in Critical Care",2015
"F002S179","E Delezie, A Koppenol, J Buyse, ...","Can breeder reproductive status, performance and egg quality be enhanced by supplementation and transition of n-3 fatty acids?",2016
"F002S180","C Richard, ED Lewis, S Goruk, CJ Field","The content of docosahexaenoic acid in the suckling and the weaning diet beneficially modulates the ability of immune cells to response to stimuli",2016
"F002S181","Y Adkins, KD Laugero, B Mackey, DS Kelley","Accretion of Dietary Docosahexaenoic Acid in Mouse Tissues Did Not Differ between Its Purified Phospholipid and Triacylglycerol Forms",2019
"F002S182","KL Honda, S Lamon-Fava, NR Matthan, ...","Prostaglandins, Leukotrienes and Essential Fatty Acids",2015
"F002S183","RP Laursen, L Lauritzen, C Ritz, ...","Do healthy school meals affect illness, allergies and school attendance in 8-to 11-year-old children? A cluster-randomised controlled study",2015
"F002S184","SM Ross","Omega-3 Polyunsaturated Fatty Acids: Effects on Inflammation in Mood Disorders",2015
"F002S185","AC Chacon, BE Phillips, MA Chacon, ...","Oral omega-3 fatty acids promote resolution in chemical peritonitis",2016
"F002S186","<U+674E><U+9896>, <U+674E><U+8FDB><U+5C55>, <U+5434><U+96EA><U+71D5>, <U+5434><U+4FCA><U+4F1F>, <U+5362><U+58C1><U+8F89>, <U+9EC4><U+58EE><U+751F>, ...","<U+03C9>-3 <U+9C7C><U+6CB9><U+8102><U+80AA><U+4E73><U+5242><U+5BF9><U+80A0><U+6897><U+963B><U+60A3><U+8005><U+80A0><U+901A><U+900F><U+6027><U+53CA><U+7EC6><U+83CC><U+79FB><U+4F4D><U+7684><U+5F71><U+54CD>",2013
"F002S187","<U+6797><U+5A77><U+5A77>, <U+6C5F><U+6885>, <U+9EC4><U+52C7><U+6CE2>, <U+6BDB><U+749E>, <U+5218><U+6653><U+9752>, <U+95EB><U+51E4>, ...","<U+9C7C><U+6CB9><U+8102><U+80AA><U+4E73><U+5BF9><U+8113><U+6BD2><U+75C7><U+60A3><U+8005><U+7597><U+6548><U+7684> Meta <U+5206><U+6790>",2014
"F002S188","A Massart","Supplémentation en oméga 3 et antioxydant et stress oxydant au cours d'un entrainement de judo",2011
"F002S189","<U+5411><U+9053><U+53D1>, <U+8C22><U+83C1>, <U+5F20><U+80DC><U+5EB7>","<U+76CA><U+6C14><U+5065><U+813E><U+65B9><U+7ED3><U+5408> <U+03C9>-3 <U+8102><U+80AA><U+9178><U+5728><U+7ED3><U+80A0><U+80BF><U+7624><U+60A3><U+8005><U+56F4><U+624B><U+672F><U+671F><U+8425><U+517B><U+652F><U+6301><U+4E2D><U+7684><U+5E94><U+7528>",2014
"F002S190","F Nardi","Modulation of Skeletal Muscle Insulin Sensitivity and SNAT2 Amino Acid Transporter Expression by Fatty Acid Availability",2015
"F002S191","L Hantsoo","Fatty Acid Desaturase (FADS) Genetic Variants and Dietary Polyunsaturated Fatty Acid Intake: Associations with Negative Affect",2012
"F002S192","J Schwager, N Richard, C Riegger, N Salem Jr","<U+0001D714>-3 PUFAs and Resveratrol Differently Modulate Acute and Chronic Inflammatory Processes",2015
"F002S193","KA Cole","Adipose tissue inflammation is associated with immune dysfunction during influenza virus infection",2007
"F002S194","SN Meydani, D Wu","The Role of Nutrition in Enhancing Immunity in Aging",NA
"F002S195","BD Rockett","Fish oil disrupts B cell plasma membrane lateral organization and immunological synapse formation",2012
"F002S196","CJ Fabian, TA Phillips, JL Nydegger, AL Kreutzjens, ...","CAPR-14-0336R1",NA
"F002S197","TC Hall","A randomised control trial investigating the effects of parenteral fish oil on survival outcomes in critically ill patients with sepsis",2015
"F002S198","PC CALDER","Polyunsaturated Fatty Acids, Inflammatory Processes and Rheumatoid Arthritis",2010
"F002S200","CA Jolly, S Karri","Omega-3 Polyunsaturated Fatty Acids and Immunosenescence",2009
"F002S201","AR Pessentheiner, R Sasik, N Hah, TJ Chi, JM Cox, ...","A Gpr120 Selective Agonist Improves Insulin Resistance and Chronic Inflammation",2014
"F002S202","T Grimstad","Anti-inflammatory effects of marine nutritional products in the treatment of ulcerative colitis. Based on clinical and animal studies",2013
"F002S203","Q Leyrolle, S Layé, A Nadjar","Lipides et cerveau",NA
"F002S204","AW Ha, WK Kim","Intake ratio and major food sources of n-3 and n-6 fatty acids in Korea: A study based on the sixth Korea national health and nutrition examination survey (2013-2014)",2018
"F002S205","EA Gurzell","B cell immunomodulation and fatty acid incorportion of dietary fish oils in colitis-prone, SMAD3-/-mice",2014
"F002S206","A Ismail","HAZARD CHARACTERIZATION OF THE LONG-CHAIN POLYUNSATURATED N-3 FATTY ACIDS, DHA, EPA AND DPA",2012
"F002S207","AH Lichtenstein","DHA differentially affects IL-6 and TNFa expression in LPS-stimulated murine macrophage cell line RAW 264.7 Kaori L. Hondaª, Stefania Lamon-Favaª, Nirupa R …",2014
"F002S208","P Spiess","The# 1 Cause of Toxic Inflammation Overload (And What To Do About It)",NA
"F002S209","M Wan","Studies on leukotriene B4 and alarmins in inflammatory responses",2010
"F002S210","AW Ha, WK Kim","Intake ratio and major food sources of n-3 and n-6 fatty acids in Korea: a study based on the sixth Korea national health and nutrition examination survey (2013–2014)",2018
"F002S211","M CANEL, Ö ÇAKAR, C COSKUN, A ÖKTEMER, ...","Series B: Chemistry, Chemical Engineering",NA
"F002S212","T Grimstad","Anti-inflammatory effects of marine nutritional products in the treatment of ulcerative colitis",NA
"F002S213","A Berra, J Tau, G Zapata, ...","Effects of PUFAs in a Mouse Model of HSV-1 Chorioretinitis",2017
"F002S214","L Goethals, PR Debruyne","L. Pottel, M. Lycke, T. Boterberg, I. Foubert, H. Pottel, F. Duprez",2014
"F002S215","M Yanez, J Blanchette, ...","Modulation of Inflammatory Response to Implanted Biomaterials Using Natural Compounds",2017
"F002S216","M Maschio, A Zarabla, A Maialetti, ...","Prevention of Bortezomib-Related Peripheral Neuropathy With Docosahexaenoic Acid and a-Lipoic Acid in Patients With Multiple Myeloma: Preliminary Data",2018
"F002S217","IC Risk","The Role Of n-3 Fatty Acids",2014
"F002S218","W Kim","MOLECULAR MECHANISMS OF IMMUNOSUPPRESSIVE EFFECTS OF DIETARY n-3 PUFA, CURCUMIN AND LIMONIN ON MURINE CD4 T CELLS",2008
"F002S219","NMJ Schwerbrock","Dietary polyunsaturated fatty acids modulate immunity to influenza virus infection",2009
"F002S220","M Bvd, OJ Visser, JAE Langius, M Hacquebard, ...","Feasibility of Intermittent Fish Oil Infusions in Outpatients with Graft-Versus-Host Disease of the Digestive Tract",2013
"F002S221","V Lamantia, S Bissonnette, V Provost, ...","The Association of Polyunsaturated Fatty Acid d-5-Desaturase Activity with Risk Factors for Type 2 Diabetes Is Dependent on Plasma ApoB-Lipoproteins in …",2018
"F002S222","S McManus","The impact of fish oil fatty-acids on post-prandial vascular reactivity.",2014
"F002S223","A Stefánsdóttir","Áhrif ómega-3 fitusýrunnar eikósapentaensýru á þroskun angafrumna og getu þeirra til að ræsa CD4+ T frumur",NA
"F002S224","G Tarantino, C Finelli","Lipids Nutrition and Epigenetic Modification in Obesity-Related Co-Morbitities",2016
"F002S225","MA Van Niekerk","The Effect of an Enriched Nutritional Supplement on Growth and Inflammatory markers in Underweight HIV-positive children aged 24-72 months",2016
"F002S226","RG Fischer, A Gustafsson","Serum Levels of Long-chain Polyunsaturated Fatty Acids in Patients with Periodontal Disease",NA
"F002S227","MM Chan, D Fong","Anti-Inflammatory Therapeutics",2010
"F002S229","DC Greg Arnold","Fish and Nut Consumption Help with Inflammation in Older Women",NA
"F002S230","KR Vineyard","Dietary Omega-3 Fatty Acid Supplementation and Its Effect on Plasma and Cell Membrane Composition and Immune Function in Yearling Horses",2008
"F002S231","A De Boer","Long-chain n-3 Polyunsaturated Fatty Acids Mitigate Inflammatory Adipokines Derived from Adipocyte-Macrophage Cross-talk and Ensuing Changes in M1 …",2015
"F002S232","BC Imhoff-Kunsch","The effect of prenatal docosahexaenoic acid supplementation on breast milk fatty acid composition and morbidity and immune function in Mexican infants: a double …",2009
"F002S233","YM Schlotter","Atopic dermatitis in dogs_novel insights into mechanisms of disease",2009
"F002S234","T Fight","5Foods",NA
"F002S235","AG Sorreta","Docosahexaenoic acid and prostate cancer",2007
"F002S236","A Sastravaha, N Suwanna, C Sinthusingha, ...","Ameliorative Effects of Omega-3 Concentrate in Managing Coxofemoral Osteoarthritic Pain in Dogs",2016
"F002S237","M Salini","Fatty acid metabolism in barramundi (Lates Calcarifer)",2016
"F002S238","S Þórleifsdóttir","The effects of dietary omega-3 fatty acids on the adaptive immune response in resolution of antigen-induced inflammation",NA
"F002S240","G Tarantino, C Finelli","Lipids, Low-Grade Chronic Inflammation and NAFLD: A Ménage À Trois?",2016
"F002S241","R Olsen","Fatty acids in synovial fluid (SF) and inflammatory markers in SF and serum from patients with inflammatory joint diseases. With focus on correlation of n-6 and n-3 …",2008
"F002S242","A Mika, E Skorkowski, P Stepnowski, ...","The lipid composition of the abdominal muscle of shrimp Crangon crangon from the Gulf of Gdansk in spring and winter periods",2013
"F002S243","DA Kline","Autoimmune Diseases & Diet",2009
"F002S244","KR Walter, X Lin, SK Jacobi, T Käser, ...","Dietary arachidonate in milk replacer triggers dual benefits of PGE 2 signaling in LPS-challenged piglet alveolar macrophages",2019
"F002S245","SC Sargi, MMO Dalalio, AG Moraes, ...","Role of Omega-3 polyunsaturated fatty acids in the production of prostaglandin [E. sub. 2] and nitric oxide during experimental murine paracoccidioidomycosis",2014
"F002S246","A Nhan","Impact of Omega-3 Fatty Acid Supplementation on Baseline Levels of Inflammatory Markers in the General Population",2017
"F002S247","Y Gundersen, S Martini, I Thrane, H Holm, ...","Kosttilskudd med <U+03C9>-3-fettsyrer–virkning på immunforsvaret etter langvarige fysiske anstrengelser",2012
"F002S248","F Guebre-Egziabher","Modulation de l'apport en acides gras polyinsaturés n-3: intérêt chez le sujet sain et au cours de l'insuffisance rénale chronique",2010
"F002S249","<U+738B><U+68A6><U+829D>, <U+66F9><U+4F1F>, <U+738B><U+5251><U+98DE>, <U+5F90><U+67CF><U+6797>, <U+738B><U+6D2A><U+8363>, <U+55BB><U+793C><U+6000>","<U+9972><U+7CAE> <U+03C9>-6/<U+03C9>-3 <U+591A><U+4E0D><U+9971><U+548C><U+8102><U+80AA><U+9178><U+6BD4><U+4F8B><U+5BF9><U+751F><U+957F><U+671F><U+626C><U+5DDE><U+9E45><U+5916><U+5468><U+8840><U+4E2D><U+767D><U+7EC6><U+80DE><U+4E9A><U+7FA4><U+7EC4><U+6210><U+7684><U+5F71><U+54CD>",2011
"F002S250","<U+5B8B><U+5FD7><U+521A>, <U+738B><U+68A6><U+829D>, <U+90DD><U+5FD7><U+654F>, <U+738B><U+5251><U+98DE>","<U+591A><U+4E0D><U+9971><U+548C><U+8102><U+80AA><U+9178><U+7ED3><U+6784><U+5BF9><U+626C><U+5DDE><U+9E45><U+8840><U+6E05><U+86CB><U+767D><U+548C><U+514D><U+75AB><U+6297><U+4F53><U+7684><U+5F71><U+54CD>",2011
"F002S251","<U+5F20><U+857E>, <U+5218><U+5B9D>","<U+03C9>-3 <U+9C7C><U+6CB9><U+8102><U+80AA><U+4E73><U+5242><U+51CF><U+8F7B><U+5371><U+91CD><U+60A3><U+8005><U+5168><U+8EAB><U+708E><U+75C7><U+53CD><U+5E94><U+7684><U+4E34><U+5E8A><U+7814><U+7A76>",2011
"F002S252","E de Docentes, L Pruimboom, PNI Formación, PNI Plus","Ácidos grasos omega-3 (general)",NA
"F002S253","E de Docentes, L Pruimboom, PNI Formación, PNI Plus","Ácidos grasos Omega-3 (DHA)",NA
"F002S254","CMM Souza","Microalga Schizochytrium sp. como fonte de ácido docosahexaenoico (DHA): efeitos sobre a digestibilidade, oxidação e palatabilidade da dieta e índices de …",NA
"F002S255","É Picard-Deland","Les effets combinés d'une protéine de poisson et d'un supplément d'acides gras N-3 d'origine marine sur le profil lipidique et l'inflammation chez des hommes et des …",2011
"F002S256","R Santana, H Carolina","Efecto del ácido linoleico conjugado en el desarrollo del sistema inmunitario en ratas",2009
"F002S257","L Pruimboom","Omega-3 vetzuren (DHA)",NA
"F002S258","<U+5F6D><U+743C>, <U+9646><U+6653><U+5A9B>","fibulin5 <U+5728><U+5B50><U+5BAB><U+5185><U+819C><U+764C><U+7EC4><U+7EC7><U+4E2D><U+7684><U+8868><U+8FBE><U+7684><U+7814><U+7A76>",2016
"F003","BM Yashodhara, S Umakanth, ...","Omega-3 fatty acids: a comprehensive review of their role in health and disease",2009
"F003S000","AS Brown","The environment and susceptibility to schizophrenia",2011
"F003S001","H Poudyal, SK Panchal, V Diwan, L Brown","Omega-3 fatty acids and metabolic syndrome: effects and emerging mechanisms of action",2011
"F003S002","I Abete, A Astrup, JA Martínez, I Thorsdottir…","Obesity and the metabolic syndrome: role of different dietary macronutrient distribution patterns and specific nutritional components on weight loss and maintenance",2010
"F003S003","RL Chang, L Ghamsari, A Manichaikul…","Metabolic network reconstruction of Chlamydomonas offers insight into light-driven algal metabolism",2011
"F003S004","A Misra, N Singhal, L Khurana","Obesity, the metabolic syndrome, and type 2 diabetes in developing countries: role of dietary fats and oils",2010
"F003S005","V Nobili, G Bedogni, A Alisi, A Pietrobattista…","Docosahexaenoic acid supplementation decreases liver fat content in children with non-alcoholic fatty liver disease: double-blind randomised controlled clinical trial",2011
"F003S006","KR Mahaffey, EM Sunderland, HM Chan…","Balancing the benefits of n-3 polyunsaturated fatty acids and the risks of methylmercury exposure from fish consumption",2011
"F003S007","CL Raison, CA Lowry, GAW Rook","Inflammation, sanitation, and consternation: loss of contact with coevolved, tolerogenic microorganisms and the pathophysiology and treatment of major depression",2010
"F003S008","A Olsen, R Egeberg, J Halkjær…","Healthy aspects of the Nordic diet are related to lower total mortality",2011
"F003S009","O Molendi-Coste, V Legry, IA Leclercq","Why and how meet n-3 PUFA dietary recommendations?",2011
"F003S010","P Zimet, D Rosenberg, YD Livney","Re-assembled casein micelles and casein nanoparticles as nano-vehicles for <U+03C9>-3 polyunsaturated fatty acids",2011
"F003S011","I Fraeye, C Bruneel, C Lemahieu, J Buyse…","Dietary enrichment of eggs with omega-3 fatty acids: A review",2012
"F003S012","H Poudyal, SK Panchal, J Waanders, L Ward…","Lipid redistribution by a-linolenic acid-rich chia seed inhibits stearoyl-CoA desaturase-1 and induces cardiac and hepatic protection in diet-induced obese rats",2012
"F003S013","K Diethelm, N Jankovic, LA Moreno…","Food intake of European adolescents in the light of different food-based dietary guidelines: results of the HELENA (Healthy Lifestyle in Europe by Nutrition in …",2012
"F003S014","D Tousoulis, A Plastiras, G Siasos, E Oikonomou…","Omega-3 PUFAs improved endothelial function and arterial stiffness with a parallel antiinflammatory effect in adults with metabolic syndrome",2014
"F003S015","P Bhargava, CH Lee","Role and function of macrophages in the metabolic syndrome",2012
"F003S016","JB Wan, LL Huang, R Rong, R Tan…","Endogenously Decreasing Tissue n-6/n-3 Fatty Acid Ratio Reduces Atherosclerotic Lesions in Apolipoprotein E–Deficient Mice by Inhibiting Systemic and Vascular …",2010
"F003S017","KD Laugero, LM Falcon, KL Tucker","Relationship between perceived stress and dietary and activity patterns in older adults participating in the Boston Puerto Rican Health Study",2011
"F003S018","D Larsen, SY Quek, L Eyres","Effect of cooking method on the fatty acid profile of New Zealand King Salmon (Oncorhynchus tshawytscha)",2010
"F003S019","RG Jordan","Prenatal omega-3 fatty acids: review and recommendations",2010
"F003S020","K Marsh, C Zeuschner…","Health implications of a vegetarian diet: A review",2012
"F003S021","AK Desai, GT Grossberg…","Healthy brain aging: a road map",2010
"F003S022","JC Liu, SM Conklin, SB Manuck, JK Yao…","Long-chain omega-3 fatty acids and blood pressure",2011
"F003S023","D Kahveci, X Xu","Repeated hydrolysis process is effective for enrichment of omega 3 polyunsaturated fatty acids in salmon oil by Candida rugosa lipase",2011
"F003S024","C McGlory, SDR Galloway, DL Hamilton…","Temporal changes in human skeletal muscle and blood lipid composition with fish oil supplementation",2014
"F003S025","MM Sethom, S Fares, N Bouaziz, W Melki…","Polyunsaturated fatty acids deficits are associated with psychotic state and negative symptoms in patients with schizophrenia",2010
"F003S026","ED Ngouémazong, S Christiaens…","The Emulsifying and Emulsion-Stabilizing Properties of Pectin: A Review",2015
"F003S027","C Bruneel, C Lemahieu, I Fraeye, E Ryckebosch…","Impact of microalgal feed supplementation on omega-3 fatty acid enrichment of hen eggs",2013
"F003S028","AM O'Donnell, KP Spatny, JL Vicini, DE Bauman","Survey of the fatty acid composition of retail milk differing in label claims based on production management practices",2010
"F003S029","AM O'Donnell-Megaro, DM Barbano…","Survey of the fatty acid composition of retail milk in the United States including regional and seasonal variations",2011
"F003S030","P Heydarizadeh, I Poirier, D Loizeau, L Ulmann…","Plastids of marine phytoplankton produce bioactive pigments and lipids",2013
"F003S032","C Rylander, M Brustad, H Falk…","Dietary predictors and plasma concentrations of perfluorinated compounds in a coastal population from northern Norway",2009
"F003S033","CD Steer, JR Hibbeln, J Golding…","Polyunsaturated fatty acid levels in blood during pregnancy, at birth and at 7 years: their associations with two common FADS2 polymorphisms",2011
"F003S034","A Matalanis, EA Decker, DJ McClements","Inhibition of lipid oxidation by encapsulation of emulsion droplets within hydrogel microspheres",2012
"F003S035","G Bernal-Santos, AM O'Donnell, JL Vicini…","Hot topic: Enhancing omega-3 fatty acids in milk fat of dairy cows by using stearidonic acid-enriched soybean oil from genetically modified soybeans",2010
"F003S036","C Zhang, H Yu, Y Shen, X Ni, S Shen…","Polyunsaturated fatty acids trigger apoptosis of colon cancer cells through a mitochondrial pathway",2015
"F003S037","C Encina, C Vergara, B Giménez…","Conventional spray-drying and future trends for the microencapsulation of fish oil",2016
"F003S038","JI Loch, P Bonarek, A Polit, D Riès…","Binding of 18-carbon unsaturated fatty acids to bovine ß-lactoglobulin—structural and thermodynamic studies",2013
"F003S039","M Imran, AM Revol-Junelles, C Paris, E Guedon…","Liposomal nanodelivery systems using soy and marine lecithin to encapsulate food biopreservative nisin",2015
"F003S040","FM Anjum, MF Haider, MI Khan…","Impact of extruded flaxseed meal supplemented diet on growth performance, oxidative stability and quality of broiler meat and meat products",2013
"F003S041","F Echeverría, M Ortiz, R Valenzuela…","Long-chain polyunsaturated fatty acids regulation of PPARs, signaling: Relationship to tissue development and aging",2016
"F003S042","Z Zhang, EA Decker, DJ McClements","Encapsulation, protection, and release of polyunsaturated lipids using biopolymer-based hydrogel particles",2014
"F003S043","A Gupta, V Guyomard, MJS Zaman, HU Rehman…","Systematic review on evidence of the effectiveness of cholesterol-lowering drugs",2010
"F003S044","MM Angrish, AD Jones, JR Harkema…","Aryl Hydrocarbon Receptor–Mediated Induction of Stearoyl-CoA Desaturase 1 Alters Hepatic Fatty Acid Composition in TCDD-Elicited Steatosis",2011
"F003S045","MM Angrish, CY Dominici…","TCDD-elicited effects on liver, serum, and adipose lipid composition in C57BL/6 mice",2012
"F003S046","V Garneau, I Rudkowska, AM Paradis…","Omega-3 fatty acids status in human subjects estimated using a food frequency questionnaire and plasma phospholipids levels",2012
"F003S047","NF Vigerust, D Cacabelos, L Burri, K Berge…","Fish oil and 3-thia fatty acid have additive effects on lipid metabolism but antagonistic effects on oxidative damage when fed to rats for 50 weeks",2012
"F003S048","J Zhang, D Wu, D Liu, Z Fang, J Chen…","EFFECT OF COOKING STYLES ON THE LIPID OXIDATION AND FATTY ACID COMPOSITION OF GRASS CARP (CTENOPHARYNYODON IDELLUS) FILLET",2013
"F003S049","D Venturini, ANC Simão, MR Urbano, I Dichi","Effects of extra virgin olive oil and fish oil on lipid profile and oxidative stress in patients with metabolic syndrome",2015
"F003S050","MR Neff, SP Bhavsar, E Braekevelt, MT Arts","Effects of different cooking methods on fatty acid profiles in four freshwater fishes from the Laurentian Great Lakes region",2014
"F003S051","N Roswall, S Sandin, M Löf, G Skeie, A Olsen…","Adherence to the healthy Nordic food index and total and cause-specific mortality among Swedish women",2015
"F003S052","VK Senanayake, S Pu, DA Jenkins…","Plasma fatty acid changes following consumption of dietary oils containing n-3, n-6, and n-9 fatty acids at different proportions: preliminary findings of the …",2014
"F003S053","AM Villani, M Crotty, LG Cleland…","Fish oil administration in older adults: is there potential for adverse events? A systematic review of the literature",2013
"F003S054","C Lemahieu, C Bruneel, E Ryckebosch…","Impact of different omega-3 polyunsaturated fatty acid (n-3 PUFA) sources (flaxseed, Isochrysis galbana, fish oil and DHA Gold) on n-3 LC-PUFA enrichment …",2015
"F003S055","MR Neff, SP Bhavsar, FJ Ni, DO Carpenter…","Risk-benefit of consuming Lake Erie fish",2014
"F003S056","CL Amaral, FI Milagro, R Curi…","DNA methylation pattern in overweight women under an energy-restricted diet supplemented with fish oil",2014
"F003S057","AE Aziza, AK Panda, N Quezada…","Nutrient digestibility, egg quality, and fatty acid composition of brown laying hens fed camelina or flaxseed meal",2013
"F003S058","J Perez-Guisado, A Munoz-Serrano","A pilot study of the Spanish Ketogenic Mediterranean Diet: an effective therapy for the metabolic syndrome",2011
"F003S059","AE Siegmann","A classification of sociomedical health indicators: perspectives for health administrators and health planners",1976
"F003S060","S Nain, RA Renema, DR Korver, MJ Zuidhof","Characterization of the n-3 polyunsaturated fatty acid enrichment in laying hens fed an extruded flax enrichment source",2012
"F003S061","I Kirpich, M Miller, M Cave, S Joshi-Barve, C McClain","Alcoholic liver disease: update on the role of dietary fat",2016
"F003S062","R Reifen, A Karlinsky, AH Stark, Z Berkovich…","a-Linolenic acid (ALA) is an anti-inflammatory agent in inflammatory bowel disease",2015
"F003S063","M Rahman, S Beg, MZ Ahmad, I Kazmi…","Omega–3 fatty acids as pharmacotherapeutics in psoriasis: current status and scope of nanomedicine in its effective delivery",2013
"F003S064","J Yang, H Dong, BD Hammock","Profiling the regulatory lipids: another systemic way to unveil the biological mystery",2011
"F003S065","S Samuel, B Peskin, B Arondekar, P Alperin…","Estimating health and economic benefits from using prescription omega-3 fatty acids in patients with severe hypertriglyceridemia",2011
"F003S066","G Cherian, N Quezada","Egg quality, fatty acid composition and immunoglobulin Y content in eggs from laying hens fed full fat camelina or flax seed",2016
"F003S067","D Kahveci, M Falkeborg, S Gregersen…","Upgrading of farmed salmon oil through lipase-catalyzed hydrolysis",2010
"F003S068","ABD Gupta, AKMM Hossain, MH Islam…","Role of omega-3 fatty acid supplementation with indomethacin in suppression of disease activity in rheumatoid arthritis",2009
"F003S069","TI Perez, MJ Zuidhof, RA Renema…","Effects of Vitamin E and Organic Selenium on Oxidative Stability of <U+03C9>-3 Enriched Dark Chicken Meat during Cooking",2010
"F003S070","MF Muldoon, CM Ryan, JK Yao, SM Conklin…","Long-chain omega-3 fatty acids and optimization of cognitive performance",2014
"F003S071","RG Elkin, Y Ying, KJ Harvatine","Feeding laying hens stearidonic acid-enriched soybean oil, as compared to flaxseed oil, more efficiently enriches eggs with very long-chain n-3 polyunsaturated fatty …",2015
